sample,x,y,r
1,0,0,NA
2,0,0,NA
3,0,0,NA
4,0,0,NA
5,98,87,NA
6,97,87,NA
7,98,87,NA
8,97,87,NA
9,98,87,NA
10,97,87,NA
11,98,87,NA
12,97,87,NA
13,98,87,NA
14,97,87,NA
15,98,87,NA
16,97,87,NA
17,98,87,NA
18,97,87,NA
19,98,87,NA
20,97,87,NA
21,98,87,NA
22,97,87,NA
23,98,87,NA
24,97,87,NA
25,98,87,NA
26,97,87,NA
27,98,87,NA
28,97,87,NA
29,98,87,NA
30,97,87,NA
31,98,87,NA
32,97,87,NA
33,98,87,NA
34,97,87,NA
35,98,87,NA
36,97,87,NA
37,98,87,NA
38,97,87,NA
39,98,87,NA
40,97,87,NA
41,98,87,NA
42,97,87,NA
43,98,87,NA
44,97,87,NA
45,98,87,NA
46,97,87,NA
47,98,87,NA
48,97,87,NA
49,98,87,NA
50,97,87,NA
51,98,87,NA
52,97,87,NA
53,98,87,NA
54,97,87,NA
55,98,87,NA
56,97,87,NA
57,98,87,NA
58,97,87,NA
59,98,87,NA
60,97,87,NA
61,98,87,NA
62,97,87,NA
63,98,87,NA
64,97,87,NA
65,98,87,NA
66,97,87,NA
67,98,87,NA
68,97,87,NA
69,98,87,NA
70,97,87,NA
71,98,87,NA
72,97,87,NA
73,98,87,NA
74,97,87,NA
75,98,87,NA
76,97,87,NA
77,98,87,NA
78,97,87,NA
79,98,87,NA
80,97,87,NA
81,98,87,NA
82,97,87,NA
83,98,87,NA
84,97,87,NA
85,98,87,NA
86,97,87,NA
87,98,87,NA
88,97,87,NA
89,98,87,NA
90,97,87,NA
91,98,87,NA
92,97,87,NA
93,98,87,NA
94,97,87,NA
95,98,87,NA
96,97,87,NA
97,98,87,NA
98,97,87,NA
99,98,87,NA
100,97,87,NA
101,98,87,NA
102,97,87,NA
103,98,87,NA
104,97,87,NA
105,98,87,NA
106,97,87,NA
107,98,87,NA
108,97,87,NA
109,98,87,NA
110,97,87,NA
111,98,87,NA
112,97,87,NA
113,98,87,NA
114,97,87,NA
115,98,87,NA
116,97,87,NA
117,98,87,NA
118,97,87,NA
119,98,87,NA
120,97,87,NA
121,98,87,NA
122,97,87,NA
123,98,87,NA
124,97,87,NA
125,98,87,NA
126,97,87,NA
127,98,87,NA
128,97,87,NA
129,98,87,NA
130,97,87,NA
131,98,87,NA
132,97,87,NA
133,98,87,NA
134,97,87,NA
135,98,87,NA
136,97,87,NA
137,98,87,NA
138,97,87,NA
139,98,87,NA
140,97,87,NA
141,98,87,NA
142,97,87,NA
143,98,87,NA
144,97,87,NA
145,98,87,NA
146,97,87,NA
147,98,87,NA
148,97,87,NA
149,98,87,NA
150,97,87,NA
151,98,87,NA
152,97,87,NA
153,98,87,NA
154,97,87,NA
155,98,87,NA
156,97,87,NA
157,98,87,NA
158,97,87,NA
159,98,87,NA
160,0,0,NA
161,0,0,NA
162,0,0,NA
163,0,0,NA
164,0,0,NA
165,0,0,NA
166,97,87,NA
167,98,85,NA
168,97,83,NA
169,98,85,NA
170,97,85,NA
171,98,83,NA
172,97,85,NA
173,98,83,NA
174,97,85,NA
175,98,83,NA
176,97,85,NA
177,98,83,NA
178,97,85,NA
179,98,83,NA
180,97,85,NA
181,98,83,NA
182,97,85,NA
183,98,83,NA
184,97,85,NA
185,98,83,NA
186,97,85,NA
187,98,83,NA
188,97,85,NA
189,98,83,NA
190,97,85,NA
191,98,83,NA
192,97,85,NA
193,98,83,NA
194,97,85,NA
195,98,83,NA
196,97,85,NA
197,98,83,NA
198,97,85,NA
199,98,83,NA
200,97,85,NA
201,98,83,NA
202,97,85,NA
203,98,83,NA
204,97,85,NA
205,98,83,NA
206,97,85,NA
207,98,83,NA
208,97,85,NA
209,98,83,NA
210,97,85,NA
211,98,83,NA
212,97,85,NA
213,98,83,NA
214,97,85,NA
215,98,83,NA
216,97,85,NA
217,98,83,NA
218,97,85,NA
219,98,83,NA
220,97,85,NA
221,98,83,NA
222,97,85,NA
223,98,83,NA
224,97,85,NA
225,98,83,NA
226,97,85,NA
227,98,83,NA
228,97,85,NA
229,98,83,NA
230,97,85,NA
231,98,83,NA
232,97,85,NA
233,98,83,NA
234,97,85,NA
235,98,83,NA
236,97,85,NA
237,98,83,NA
238,97,85,NA
239,98,83,NA
240,97,85,NA
241,98,83,NA
242,97,85,NA
243,98,83,NA
244,97,85,NA
245,98,83,NA
246,97,85,NA
247,98,83,NA
248,97,85,NA
249,98,83,NA
250,97,85,NA
251,98,83,NA
252,97,85,NA
253,98,83,NA
254,97,85,NA
255,98,83,NA
256,97,85,NA
257,98,83,NA
258,97,85,NA
259,98,83,NA
260,97,85,NA
261,98,83,NA
262,97,85,NA
263,98,83,NA
264,97,85,NA
265,98,83,NA
266,97,85,NA
267,98,83,NA
268,97,85,NA
269,98,83,NA
270,97,85,NA
271,98,83,NA
272,97,85,NA
273,98,83,NA
274,97,85,NA
275,98,83,NA
276,97,85,NA
277,98,83,NA
278,97,85,NA
279,98,83,NA
280,97,85,NA
281,98,83,NA
282,97,85,NA
283,98,83,NA
284,97,85,NA
285,98,83,NA
286,97,85,NA
287,98,83,NA
288,97,85,NA
289,98,83,NA
290,97,85,NA
291,98,83,NA
292,97,85,NA
293,98,83,NA
294,97,85,NA
295,98,83,NA
296,97,85,NA
297,98,83,NA
298,97,85,NA
299,98,83,NA
300,97,85,NA
301,98,83,NA
302,97,85,NA
303,98,83,NA
304,97,85,NA
305,98,83,NA
306,97,85,NA
307,98,83,NA
308,97,85,NA
309,98,83,NA
310,97,85,NA
311,98,83,NA
312,97,85,NA
313,98,83,NA
314,97,85,NA
315,98,83,NA
316,97,85,NA
317,98,83,NA
318,97,85,NA
319,98,83,NA
320,97,85,NA
321,98,83,NA
322,97,85,NA
323,98,83,NA
324,97,85,NA
325,98,83,NA
326,97,85,NA
327,98,83,NA
328,97,85,NA
329,98,83,NA
330,97,85,NA
331,98,85,NA
332,97,83,NA
333,98,85,NA
334,97,83,NA
335,98,85,NA
336,97,83,NA
337,98,85,NA
338,97,83,NA
339,98,85,NA
340,97,83,NA
341,98,85,NA
342,97,83,NA
343,98,85,NA
344,97,83,NA
