sample,x,y,r,blink
1,118,135,23,0
2,119,135,22,0
3,119,135,23,0
4,119,137,21,0
5,119,135,22,0
6,118,134,21,0
7,118,134,21,0
8,118,134,21,0
9,116,141,25,0
10,116,141,25,0
11,118,136,22,0
12,118,136,22,0
13,124,135,21,0
14,127,136,20,0
15,126,134,21,0
16,127,134,20,0
17,126,134,21,0
18,125,133,20,0
19,125,133,20,0
20,127,134,20,0
21,126,134,21,0
22,125,134,20,0
23,126,134,21,0
24,125,133,20,0
25,126,135,20,0
26,125,134,20,0
27,126,134,20,0
28,127,135,20,0
29,127,134,21,0
30,126,135,21,0
31,127,135,20,0
32,126,134,21,0
33,126,134,22,0
34,124,136,20,0
35,125,134,21,0
36,125,136,22,0
37,126,134,21,0
38,124,135,22,0
39,125,134,21,0
40,125,134,21,0
41,122,133,22,0
42,122,130,23,0
43,119,132,23,0
44,119,132,23,0
45,122,134,19,0
46,122,134,19,0
47,122,134,19,0
48,122,134,19,1
49,120,131,23,1
50,123,132,21,1
51,125,134,22,1
52,124,136,23,1
53,125,136,23,1
54,124,134,22,1
55,125,137,23,1
56,125,137,23,1
57,124,136,23,1
58,124,135,22,1
59,125,134,21,1
60,125,135,21,1
61,126,135,20,1
62,127,138,23,1
63,126,135,21,1
64,125,134,21,1
65,124,134,20,1
66,124,134,20,1
67,127,137,21,1
68,126,135,21,1
69,125,137,23,1
70,126,135,21,1
71,125,136,23,1
72,124,139,22,1
73,122,138,25,1
74,125,136,23,1
75,125,135,22,1
76,124,135,22,1
77,124,135,22,1
78,125,135,21,1
79,125,137,23,1
80,126,135,22,1
81,126,135,23,1
82,127,136,21,1
83,126,136,23,1
84,127,136,21,1
85,125,138,21,1
86,124,138,22,1
87,126,139,23,1
88,124,137,22,1
89,123,134,21,1
90,123,134,21,1
91,124,136,23,1
92,124,136,23,1
93,124,137,23,1
94,126,136,23,1
95,124,135,22,1
96,124,135,22,1
97,124,138,25,1
98,124,138,25,1
99,124,138,25,1
100,124,138,25,1
101,124,138,25,1
102,123,135,23,1
103,123,136,22,1
104,123,139,23,1
105,122,137,23,1
106,123,136,22,1
107,122,139,24,1
108,125,136,23,1
109,126,138,23,1
110,125,136,23,1
111,125,135,23,1
112,126,137,23,1
113,125,135,23,1
114,125,138,24,1
115,123,136,23,1
116,126,134,24,1
117,125,137,23,1
118,125,137,23,1
119,121,133,23,1
120,121,133,23,1
121,121,133,23,1
122,124,137,22,1
123,75,156,19,1
124,75,156,19,2
125,75,156,19,2
126,75,156,19,2
127,75,156,19,3
128,88,124,22,3
129,88,124,22,3
130,126,138,23,3
131,118,124,26,3
132,121,131,27,3
133,121,133,25,3
134,122,134,26,3
135,124,134,23,3
136,124,134,23,3
137,124,134,23,3
138,125,135,22,3
139,124,133,22,3
140,125,135,23,3
141,123,133,22,3
142,126,159,21,3
143,126,159,21,3
144,126,136,22,3
145,125,135,22,3
146,124,133,22,3
147,125,136,22,3
148,126,131,23,3
149,126,135,22,3
150,123,135,25,3
151,123,135,25,3
152,123,135,25,3
153,124,138,25,3
154,124,138,25,3
155,124,138,25,3
156,125,137,25,3
157,123,135,23,3
158,124,135,24,3
159,124,135,24,3
160,124,135,24,3
161,124,138,25,3
162,124,138,25,3
163,123,136,24,3
164,123,138,25,3
165,124,136,23,3
166,124,135,23,3
167,123,137,25,3
168,122,135,22,3
169,122,135,22,3
170,124,136,24,3
171,125,138,25,3
172,123,134,22,3
173,123,134,21,3
174,124,135,24,3
175,124,135,24,3
176,122,135,25,3
177,125,136,24,3
178,124,136,23,3
179,123,136,23,3
180,124,139,25,3
181,124,134,21,3
182,125,135,23,3
183,125,135,23,3
184,124,135,23,3
185,124,134,22,3
186,123,134,23,3
187,122,137,24,3
188,121,135,22,3
189,122,138,23,3
190,121,136,22,3
191,122,135,23,3
192,120,135,24,3
193,121,137,24,3
194,123,138,25,3
195,121,137,23,3
196,122,134,23,3
197,122,136,24,3
198,123,138,25,3
199,123,136,23,3
200,123,136,23,3
201,124,137,23,3
202,124,137,23,3
203,123,136,22,3
204,122,136,22,3
205,123,135,23,3
206,123,135,23,3
207,124,136,23,3
208,124,138,25,3
209,123,135,22,3
210,124,138,24,3
211,124,134,22,3
212,125,135,23,3
213,123,133,22,3
214,123,135,23,3
215,122,135,23,3
216,123,137,24,3
217,123,136,23,3
218,124,136,23,3
219,124,136,23,3
220,124,136,23,3
221,123,138,24,3
222,124,137,23,3
223,124,137,24,3
224,123,138,24,3
225,126,137,24,3
226,126,137,24,3
227,126,138,24,3
228,125,134,22,3
229,124,138,24,3
230,125,136,23,3
231,125,136,23,3
232,124,137,23,3
233,123,137,25,3
234,124,133,23,3
235,124,137,25,3
236,124,137,25,3
237,124,138,24,3
238,122,137,25,3
239,123,136,24,3
240,123,133,22,3
