,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,120.739894172,10.0,124.744134651,img/B/inside\sun_aamrqohnymdzzcsm.png,Indoor,132.746313859,16.0,130.74631071,NearLeft,0,1,0,1.0,8.0,122.74360341
1,22.0,136.744735884,26.0,140.744588901,img/B/outside_nat\sun_aazwxarwchtbkpuq.png,Outdoor,148.742552827,32.0,146.741918347,NearLeft,1,1,1,2.0,24.0,138.744244189
2,42.0,156.744835973,46.0,160.738060025,img/B/outside_nat\sun_aavmchfjuxkpmnuv.png,Outdoor,172.745218831,56.0,170.743072869,Right,2,1,2,3.0,44.0,158.739032217
3,60.0,174.734208353,64.0,178.734844932,,None,186.743448727,70.0,184.741291217,Left,3,1,3,4.0,62.0,176.733644565
4,74.0,188.730351781,78.0,192.733070279,,None,200.743741995,84.0,198.744304382,NearRight,4,1,4,5.0,76.0,190.730935866
5,88.0,202.743754243,92.0,206.742307504,img/B/inside\sun_aaguxgrqaehrwaip.png,Indoor,214.739863725,98.0,212.740427163,Left,5,1,5,6.0,90.0,204.746002744
6,104.0,218.744129052,108.0,222.738492577,,None,230.740210887,114.0,228.738054426,NearLeft,6,1,6,7.0,106.0,220.738246905
7,118.0,232.742337251,122.0,236.733820246,,None,246.740549999,130.0,244.738406137,Left,7,1,7,8.0,120.0,234.744462915
8,136.0,250.74486817,140.0,254.732353209,img/B/outside_nat\sun_aacegqrsghanpufn.png,Outdoor,264.743144961,148.0,262.743462376,Right,8,1,8,9.0,138.0,252.731590643
9,152.0,266.745270625,156.0,270.741155782,,None,278.741214225,162.0,276.739983762,Right,9,1,9,10.0,154.0,268.741865853
10,170.0,284.73729921,174.0,288.736164636,img/B/inside\sun_aatezwwkfesvyuij.png,Indoor,296.743736045,180.0,294.741574335,NearRight,10,1,10,11.0,172.0,286.736860009
11,184.0,298.733430739,188.0,302.733376845,img/B/outside_man\sun_abnrpxwqomrizaxl.png,Outdoor,312.744184695,196.0,310.741906798,NearRight,11,1,11,12.0,186.0,300.732843854
12,206.0,320.744649444,210.0,324.742927985,img/B/inside\sun_abakyssezpogcttw.png,Indoor,332.74072218,216.0,330.746524186,Right,12,1,12,13.0,208.0,322.743447327
13,224.0,338.739064764,228.0,342.742601121,img/B/inside\sun_aafkyzekyiexahmz.png,Indoor,350.735707936,234.0,348.736292722,Left,13,1,13,14.0,226.0,340.741451149
14,238.0,352.736518096,242.0,356.740785523,img/B/inside\sun_abntrinbqbsqoowj.png,Indoor,366.734727695,250.0,364.732591532,Right,14,1,14,15.0,240.0,354.738672457
15,254.0,368.73766177,258.0,372.743309793,,None,380.744136051,264.0,378.744704388,NearLeft,15,1,15,16.0,256.0,370.738993722
16,274.0,388.742375396,278.0,392.740798471,,None,400.738573418,284.0,398.739135806,Right,16,1,16,17.0,276.0,390.746010093
17,288.0,402.73964395,292.0,406.743909976,img/B/outside_man\sun_acebwlwlbivavdcn.png,Outdoor,418.739983762,302.0,416.737854598,Left,17,1,17,18.0,290.0,404.741790261
18,306.0,420.742552827,310.0,424.731943054,img/B/inside\sun_aaiuzbtklnxpvzbv.png,Indoor,434.745847711,318.0,432.74639925,NearRight,18,1,18,19.0,308.0,422.744386273
19,326.0,440.744190995,330.0,444.743079868,img/B/outside_nat\sun_abfqnimhfodrmbor.png,Outdoor,454.744936412,338.0,452.743943922,Left,19,1,19,20.0,328.0,442.743631407
20,348.0,462.738079273,352.0,466.7409885,img/B/outside_man\sun_aaancoinbvtdypbc.png,Outdoor,476.734874329,360.0,474.734748693,NearLeft,20,1,20,21.0,350.0,464.739003521
21,370.0,484.743431229,374.0,488.730971212,,None,496.745332918,380.0,494.745903005,NearRight,21,1,21,22.0,372.0,486.745555143
22,384.0,498.74477088,388.0,502.743642606,img/B/outside_man\sun_aaalcefznkjgkkdo.png,Outdoor,510.741435051,394.0,508.741991139,NearRight,22,1,22,23.0,386.0,500.744217592
23,398.0,512.740895411,402.0,516.74405766,img/B/inside\sun_aaeycnkjwmvweywi.png,Indoor,524.737686267,408.0,522.738227657,NearLeft,23,1,23,24.0,400.0,514.741903999
